case_id,date,sample_order,param,level,price_scenario,base_cost_gbp,opt_cost_gbp,saving_gbp,saving_pct,opt_cost_ext_sum_gbp,saving_pct_ext_sum,opt_cost_it_gbp,opt_cost_cooling_gbp,opt_cost_ups_charge_gbp,opt_cost_other_gbp,base_cost_it_gbp,base_cost_cooling_gbp,base_cost_ups_charge_gbp,base_cost_other_gbp,nominal_max_ups_kw,nominal_max_tes_w,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,extension_price_mean_gbp_per_mwh,runtime_s,saving_it_gbp,saving_cooling_gbp,saving_ups_charge_gbp,saving_other_gbp
imrp_20250804,2025-08-04,30,price_day,30.0,2025-08-04,804.17,676.22,127.95,15.911,676.22,15.911,495.72,111.05,1.84,58.81,594.7,150.67,0.0,58.81,0.0,0.0,46.153,4.75,81.4,26.474,0.0,7.083,3.7,98.98000000000002,39.61999999999999,-1.84,0.0
imrp_20250812,2025-08-12,31,price_day,31.0,2025-08-12,1588.48,1532.12,56.35,3.548,1532.12,3.548,1043.4,264.62,24.96,109.21,1177.18,302.08,0.0,109.21,0.0,0.0,85.705,68.04,126.17,16.496,0.0,81.477,3.1,133.77999999999997,37.45999999999998,-24.96,0.0
imrp_20250819,2025-08-19,32,price_day,32.0,2025-08-19,1438.8,1403.83,34.97,2.431,1403.83,2.431,958.52,246.07,23.95,99.81,1065.51,273.48,0.0,99.81,0.0,0.0,78.324,64.94,97.07,8.715,0.0,68.317,2.8,106.99000000000001,27.410000000000025,-23.95,0.0
imrp_20250826,2025-08-26,33,price_day,33.0,2025-08-26,1532.08,1480.69,51.39,3.354,1480.69,3.354,1009.03,256.06,23.17,105.63,1135.09,291.35,0.0,105.63,0.0,0.0,82.897,63.12,115.32,14.717,0.0,78.693,2.8,126.05999999999995,35.29000000000002,-23.17,0.0
imrp_20250903,2025-09-03,34,price_day,34.0,2025-09-03,1404.76,1334.07,70.68,5.032,1334.07,5.032,922.21,231.72,23.54,97.72,1040.33,266.71,0.0,97.72,0.0,0.0,76.684,51.63,93.45,11.345,0.0,45.92,3.3,118.11999999999989,34.98999999999998,-23.54,0.0
imrp_20250910,2025-09-10,35,price_day,35.0,2025-09-10,1340.33,1203.29,137.04,10.225,1203.29,10.225,859.05,210.93,21.57,93.04,992.74,254.55,0.0,93.04,0.0,0.0,73.015,22.67,104.58,20.081,0.0,15.523,2.9,133.69000000000005,43.620000000000005,-21.57,0.0
imrp_20250918,2025-09-18,36,price_day,36.0,2025-09-18,947.71,825.11,122.6,12.936,825.11,12.936,565.43,127.18,8.04,62.87,704.32,180.52,0.0,62.87,0.0,0.0,49.341,8.57,103.11,32.231,0.0,51.007,3.3,138.8900000000001,53.34,-8.04,0.0
imrp_20250925,2025-09-25,37,price_day,37.0,2025-09-25,1492.99,1434.67,58.32,3.906,1434.67,3.906,980.06,249.49,24.8,103.42,1105.78,283.79,0.0,103.42,0.0,0.0,81.156,65.57,106.81,13.661,0.0,70.113,3.4,125.72000000000003,34.30000000000001,-24.8,0.0
imrp_20251002,2025-10-02,38,price_day,38.0,2025-10-02,1362.87,1247.28,115.59,8.481,1247.28,8.481,882.37,220.19,23.71,95.81,1008.48,258.59,0.0,95.81,0.0,0.0,75.185,24.24,110.1,17.433,0.0,19.653,3.1,126.11000000000001,38.39999999999998,-23.71,0.0
imrp_20251010,2025-10-10,39,price_day,39.0,2025-10-10,1588.49,1538.1,50.39,3.172,1538.1,3.172,1047.45,268.09,26.49,109.77,1176.61,302.11,0.0,109.77,0.0,0.0,86.142,72.0,116.38,13.418,0.0,77.983,3.0,129.15999999999985,34.02000000000004,-26.49,0.0
imrp_20251017,2025-10-17,40,price_day,40.0,2025-10-17,1648.38,1589.37,59.02,3.58,1589.37,3.58,1085.94,281.82,35.32,114.0,1220.92,313.46,0.0,114.0,0.0,0.0,89.462,73.5,124.21,14.627,0.0,80.507,3.6,134.98000000000002,31.639999999999986,-35.32,0.0
imrp_20251025,2025-10-25,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imrp_20251102,2025-11-02,42,price_day,42.0,2025-11-02,1098.33,1004.55,93.78,8.538,1004.55,8.538,721.57,174.71,0.0,74.11,814.97,209.25,0.0,74.11,0.0,0.0,58.157,43.12,103.71,18.932,0.0,27.03,3.7,93.39999999999998,34.53999999999999,0.0,0.0
imrp_20251109,2025-11-09,43,price_day,43.0,2025-11-09,1492.93,1454.45,38.48,2.578,1454.45,2.578,1018.96,256.61,0.0,102.7,1106.28,283.95,0.0,102.7,0.0,0.0,80.594,69.49,104.07,9.719,0.0,71.527,2.9,87.31999999999994,27.339999999999975,0.0,0.0
imrp_20251117,2025-11-17,44,price_day,44.0,2025-11-17,1497.57,1454.08,43.49,2.904,1454.08,2.904,1022.8,255.66,0.0,102.03,1110.06,285.48,0.0,102.03,0.0,0.0,80.07,52.22,114.36,16.567,0.0,75.887,2.6,87.25999999999999,29.82000000000002,0.0,0.0
imrp_20251124,2025-11-24,45,price_day,45.0,2025-11-24,1615.12,1573.56,41.56,2.573,1573.56,2.573,1109.17,278.27,0.0,111.14,1196.17,307.81,0.0,111.14,0.0,0.0,87.217,62.76,112.07,14.884,0.0,73.023,3.0,87.0,29.54000000000002,0.0,0.0
imrp_20251201,2025-12-01,46,price_day,46.0,2025-12-01,1357.44,1307.73,49.71,3.662,1307.73,3.662,928.31,231.96,0.0,92.92,1005.79,258.73,0.0,92.92,0.0,0.0,72.923,45.74,91.85,15.035,0.0,48.17,2.6,77.48000000000002,26.77000000000001,0.0,0.0
imrp_20251209,2025-12-09,47,price_day,47.0,2025-12-09,1229.0,1156.4,72.6,5.907,1156.4,5.907,834.92,205.99,0.0,85.17,910.2,233.63,0.0,85.17,0.0,0.0,66.834,32.15,82.52,12.955,0.0,26.657,2.6,75.28000000000009,27.639999999999986,0.0,0.0
imrp_20251216,2025-12-16,48,price_day,48.0,2025-12-16,1635.31,1579.49,55.83,3.414,1579.49,3.414,1111.04,277.64,0.0,111.85,1211.72,311.74,0.0,111.85,0.0,0.0,87.778,65.52,120.82,16.716,0.0,72.593,2.5,100.68000000000006,34.10000000000002,0.0,0.0
imrp_20251224,2025-12-24,49,price_day,49.0,2025-12-24,1394.93,1358.8,36.13,2.59,1358.8,2.59,944.04,240.67,13.06,94.98,1034.19,265.76,0.0,94.98,0.0,0.0,74.534,48.36,91.94,12.545,0.0,64.39,2.4,90.15000000000009,25.090000000000003,-13.06,0.0
imrp_20251231,2025-12-31,50,price_day,50.0,2025-12-31,1483.45,1411.75,71.7,4.833,1411.75,4.833,1016.11,251.43,0.0,103.04,1098.52,281.89,0.0,103.04,0.0,0.0,80.865,47.11,96.4,9.992,0.0,38.557,2.3,82.40999999999997,30.45999999999998,0.0,0.0
