case_id,date,sample_order,negative_prices_clipped_27h,price_floor_gbp_per_mwh,param,level,price_scenario,negative_prices_clipped_27h_result,price_floor_gbp_per_mwh_result,base_cost_gbp,opt_cost_gbp,saving_gbp,saving_pct,opt_cost_ext_sum_gbp,saving_pct_ext_sum,opt_cost_it_gbp,opt_cost_cooling_gbp,opt_cost_ups_charge_gbp,opt_cost_other_gbp,base_cost_it_gbp,base_cost_cooling_gbp,base_cost_ups_charge_gbp,base_cost_other_gbp,nominal_max_ups_kw,nominal_max_tes_w,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,extension_price_mean_gbp_per_mwh,runtime_s,saving_it_gbp,saving_cooling_gbp,saving_ups_charge_gbp,saving_other_gbp
imrp_20250212,2025-02-12,43,0,,price_day,43,2025-02-12,,,2341.13,2287.55,53.58,2.289,2287.55,2.289,1611.13,406.27,0.0,161.77,1733.76,445.6,0.0,161.77,0.0,0.0,126.953,106.48,160.58,15.726,0,112.057,2.7,122.62999999999988,39.33000000000004,0.0,0.0
imrp_20250213,2025-02-13,44,0,,price_day,44,2025-02-13,,,2405.62,2342.09,63.53,2.641,2342.09,2.641,1655.55,412.26,0.0,166.39,1781.45,457.79,0.0,166.39,0.0,0.0,130.573,106.96,160.89,16.373,0,105.463,2.8,125.90000000000009,45.53000000000003,0.0,0.0
imrp_20250214,2025-02-14,45,0,,price_day,7,2025-02-14,,,2374.42,2296.72,77.69,3.272,2296.72,3.272,1615.63,404.58,0.0,163.48,1758.9,452.03,0.0,163.48,0.0,0.0,128.292,101.69,169.82,19.624,0,103.55,2.4,143.26999999999998,47.44999999999999,0.0,0.0
imrp_20250215,2025-02-15,46,0,,price_day,46,2025-02-15,,,2067.29,2033.45,33.84,1.637,2033.45,1.637,1428.45,371.0,28.08,142.9,1531.29,393.09,0.0,142.9,0.0,0.0,112.145,98.75,140.73,10.867,0,108.373,3.2,102.83999999999992,22.089999999999975,-28.08,0.0
imrp_20250216,2025-02-16,47,0,,price_day,47,2025-02-16,,,1992.23,1950.24,41.99,2.108,1950.24,2.108,1370.41,350.82,26.84,137.22,1476.22,378.8,0.0,137.22,0.0,0.0,107.685,94.06,135.85,11.182,0,100.94,2.6,105.80999999999995,27.980000000000018,-26.84,0.0
imrp_20250217,2025-02-17,48,0,,price_day,48,2025-02-17,,,2160.25,2073.26,86.99,4.027,2073.26,4.027,1416.11,361.07,34.66,149.84,1599.66,410.74,0.0,149.84,0.0,0.0,117.591,93.86,158.71,20.248,0,101.75,2.8,183.55000000000018,49.670000000000016,-34.66,0.0
imrp_20250218,2025-02-18,49,0,,price_day,49,2025-02-18,,,1966.3,1875.67,90.63,4.609,1875.67,4.609,1287.64,322.09,30.65,137.05,1455.88,373.37,0.0,137.05,0.0,0.0,107.554,83.42,149.77,18.126,0,85.24,2.4,168.24,51.28000000000003,-30.65,0.0
imrp_20250219,2025-02-19,50,0,,price_day,50,2025-02-19,,,1826.75,1752.88,73.87,4.044,1752.88,4.044,1207.26,305.85,32.87,126.65,1352.68,347.42,0.0,126.65,0.0,0.0,99.391,79.47,132.14,14.723,0,69.74,2.9,145.42000000000007,41.56999999999999,-32.87,0.0
imrp_20250220,2025-02-20,51,0,,price_day,51,2025-02-20,,,1613.08,1516.1,96.97,6.012,1516.1,6.012,1049.9,264.71,30.07,110.76,1195.54,306.78,0.0,110.76,0.0,0.0,86.917,57.77,118.14,18.019,0,48.5,3.4,145.63999999999987,42.06999999999999,-30.07,0.0
imrp_20250221,2025-02-21,52,0,,price_day,52,2025-02-21,,,1202.06,1097.75,104.31,8.677,1097.75,8.677,745.21,189.13,32.08,81.93,891.57,228.56,0.0,81.93,0.0,0.0,64.294,33.93,101.39,19.136,0,41.94,2.5,146.36,39.43000000000001,-32.08,0.0
imrp_20250222,2025-02-22,53,0,,price_day,8,2025-02-22,,,1512.03,1433.89,78.13,5.167,1433.89,5.167,982.31,246.58,25.7,100.8,1122.52,288.71,0.0,100.8,0.0,0.0,79.101,37.9,131.09,27.278,0,75.527,2.5,140.21000000000004,42.12999999999997,-25.7,0.0
imrp_20250223,2025-02-23,54,0,,price_day,54,2025-02-23,,,1050.96,915.08,135.88,12.929,915.08,12.929,648.05,155.05,11.73,71.9,780.3,198.76,0.0,71.9,0.0,0.0,56.422,31.08,100.91,19.905,0,22.407,2.2,132.25,43.70999999999998,-11.73,0.0
imrp_20250224,2025-02-24,55,0,,price_day,55,2025-02-24,,,1399.83,1321.77,78.06,5.577,1321.77,5.577,900.38,230.23,37.49,92.49,1039.62,267.72,0.0,92.49,0.0,0.0,72.582,16.54,130.0,32.771,0,75.173,2.2,139.2399999999999,37.49000000000004,-37.49,0.0
imrp_20250225,2025-02-25,56,0,,price_day,56,2025-02-25,,,1801.18,1743.56,57.62,3.199,1743.56,3.199,1195.16,311.45,39.82,124.33,1334.02,342.83,0.0,124.33,0.0,0.0,97.572,72.8,135.66,17.232,0,92.317,2.3,138.8599999999999,31.379999999999995,-39.82,0.0
imrp_20250226,2025-02-26,57,0,,price_day,57,2025-02-26,,,1888.53,1814.95,73.58,3.896,1814.95,3.896,1243.22,312.96,31.11,131.09,1398.41,359.03,0.0,131.09,0.0,0.0,102.87,85.02,135.22,15.525,0,83.79,2.4,155.19000000000005,46.06999999999999,-31.11,0.0
imrp_20250227,2025-02-27,58,0,,price_day,58,2025-02-27,,,1785.97,1725.61,60.36,3.38,1725.61,3.38,1178.72,300.26,29.34,123.56,1322.8,339.61,0.0,123.56,0.0,0.0,96.965,80.18,131.25,15.567,0,87.907,2.1,144.07999999999993,39.35000000000002,-29.34,0.0
imrp_20250228,2025-02-28,59,0,,price_day,59,2025-02-28,,,1843.84,1777.39,66.45,3.604,1777.39,3.604,1211.92,308.45,28.93,128.42,1365.12,350.31,0.0,128.42,0.0,0.0,100.775,78.64,141.88,17.161,0,93.517,2.0,153.19999999999982,41.860000000000014,-28.93,0.0
imrp_20250301,2025-03-01,60,0,,price_day,9,2025-03-01,,,1810.82,1773.14,37.68,2.081,1773.14,2.081,1225.76,318.64,29.43,125.12,1341.52,344.18,0.0,125.12,0.0,0.0,98.188,80.21,125.87,11.996,0,100.447,2.8,115.75999999999999,25.54000000000002,-29.43,0.0
imrp_20250302,2025-03-02,61,0,,price_day,61,2025-03-02,,,1681.5,1628.4,53.09,3.158,1628.4,3.158,1117.34,290.77,48.54,116.54,1245.82,319.14,0.0,116.54,0.0,0.0,91.457,69.92,124.21,13.037,0,85.83,2.0,128.48000000000002,28.370000000000005,-48.54,0.0
imrp_20250303,2025-03-03,62,0,,price_day,62,2025-03-03,,,1845.43,1777.97,67.46,3.656,1777.97,3.656,1212.69,308.02,29.02,127.95,1366.69,350.78,0.0,127.95,0.0,0.0,100.413,79.23,141.41,16.711,0,91.76,2.1,154.0,42.75999999999999,-29.02,0.0
imrp_20250304,2025-03-04,63,0,,price_day,63,2025-03-04,,,1741.34,1648.9,92.43,5.308,1648.9,5.308,1135.81,282.89,24.43,121.62,1289.32,330.39,0.0,121.62,0.0,0.0,95.444,65.01,131.73,17.163,0,73.357,2.2,153.51,47.5,-24.43,0.0
imrp_20250305,2025-03-05,64,0,,price_day,64,2025-03-05,,,1474.1,1360.11,113.99,7.733,1360.11,7.733,938.33,227.7,9.13,102.4,1092.35,279.35,0.0,102.4,0.0,0.0,80.361,24.93,125.2,25.782,0,75.063,2.1,154.01999999999987,51.650000000000034,-9.13,0.0
imrp_20250306,2025-03-06,65,0,,price_day,65,2025-03-06,,,1497.42,1394.62,102.8,6.865,1394.62,6.865,975.41,241.91,32.08,104.58,1108.82,284.01,0.0,104.58,0.0,0.0,82.071,37.83,118.45,22.001,0,74.2,2.2,133.40999999999997,42.099999999999994,-32.08,0.0
imrp_20250307,2025-03-07,66,0,,price_day,66,2025-03-07,,,1710.44,1668.38,42.06,2.459,1668.38,2.459,1172.38,303.66,30.53,118.45,1266.43,325.57,0.0,118.45,0.0,0.0,92.952,71.25,126.58,12.655,0,85.397,2.3,94.04999999999995,21.909999999999968,-30.53,0.0
imrp_20250308,2025-03-08,67,0,,price_day,10,2025-03-08,,,1517.08,1474.17,42.91,2.829,1474.17,2.829,1018.44,268.35,50.27,105.46,1122.99,288.63,0.0,105.46,0.0,0.0,82.757,58.2,111.28,13.051,0,85.453,3.1,104.54999999999995,20.279999999999973,-50.27,0.0
imrp_20250309,2025-03-09,68,0,,price_day,68,2025-03-09,,,1671.34,1627.59,43.75,2.618,1627.59,2.618,1146.09,288.3,0.0,115.26,1238.22,317.86,0.0,115.26,0.0,0.0,90.455,81.64,121.45,10.631,0,81.107,2.3,92.13000000000011,29.560000000000002,0.0,0.0
imrp_20250310,2025-03-10,69,0,,price_day,69,2025-03-10,,,1616.53,1558.04,58.48,3.618,1558.04,3.618,1063.11,275.83,47.39,111.94,1197.39,307.2,0.0,111.94,0.0,0.0,87.846,71.66,122.26,13.798,0,79.383,2.8,134.2800000000002,31.370000000000005,-47.39,0.0
imrp_20250311,2025-03-11,70,0,,price_day,70,2025-03-11,,,1706.25,1653.37,52.89,3.1,1653.37,3.1,1125.26,288.58,29.16,117.89,1263.83,324.52,0.0,117.89,0.0,0.0,92.519,76.54,129.98,13.923,0,84.47,2.5,138.56999999999994,35.94,-29.16,0.0
imrp_20250312,2025-03-12,71,0,,price_day,71,2025-03-12,,,1764.4,1702.25,62.15,3.522,1702.25,3.522,1159.28,297.01,29.87,121.73,1307.21,335.45,0.0,121.73,0.0,0.0,95.531,80.69,141.63,15.203,0,85.947,2.3,147.93000000000006,38.44,-29.87,0.0
imrp_20250313,2025-03-13,72,0,,price_day,72,2025-03-13,,,1933.81,1870.99,62.82,3.249,1870.99,3.249,1308.56,326.4,0.0,132.97,1432.75,368.09,0.0,132.97,0.0,0.0,104.346,82.69,148.72,17.561,0,93.867,2.2,124.19000000000005,41.69,0.0,0.0
imrp_20250314,2025-03-14,73,0,,price_day,73,2025-03-14,,,1891.23,1830.95,60.28,3.187,1830.95,3.187,1257.93,326.85,40.5,131.37,1400.43,359.43,0.0,131.37,0.0,0.0,103.092,86.79,134.77,15.115,0,94.247,2.4,142.5,32.579999999999984,-40.5,0.0
