slot,P_grid_kw,P_it_kw,P_grid_it_kw,P_chiller_kw,P_ups_ch_kw,P_ups_disch_kw,E_ups_kwh,E_tes_kwh,total_cpu,da_price,x_bm_off_kw,x_bm_bid_kw,committed_down_kw,committed_up_kw
36,7754.264373374144,5562.624805011452,5562.624805011452,1660.6895683626926,0.0,0.0,6000.0,10000.0,0.5614395033342424,96.05,22601.953415459742,4245.735626625854,7039.070292001304,0.0
37,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,101.32,22033.011077677635,4918.566616516456,6740.160952279286,0.0
38,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,101.32,22033.011077677635,4918.566616516456,6740.160952279286,0.0
39,8240.135683447916,5912.814660828746,5912.814660828746,1796.371022619169,0.0,0.0,6000.0,10000.0,0.6,99.19,22737.63486971621,3759.8643165520843,6740.160952279286,0.0
40,7820.679617868212,5912.814660828746,5912.814660828746,1376.9149570394661,0.0,0.0,6000.0,10000.0,0.6,99.19,22318.178804136507,4179.3203821317875,6740.160952279286,0.0
41,8221.997878237942,5912.814660828746,5912.814660828746,1778.2332174091946,0.0,0.0,6000.0,10000.0,0.6,97.78,22719.497064506235,3778.002121762058,6740.160952279286,0.0
42,8392.3995065972,5994.833424284229,5994.833424284229,1866.6160823129699,0.0,0.0,6000.0,10000.0,0.6085604966657574,97.78,22807.879929410017,3607.6004934027997,6740.160952279286,0.0
43,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,106.67,22033.011077677635,4918.566616516456,6908.783703701302,0.0
44,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,106.67,22033.011077677635,4918.566616516456,6908.783703701302,0.0
45,8245.614651993144,5912.814660828746,5912.814660828746,1801.8499911643974,0.0,0.0,6000.0,10000.0,0.6,100.8,22743.113838261444,3754.3853480068556,7154.23336108134,0.0
46,8067.323963023808,5912.814660828746,5912.814660828746,1623.559302195062,0.0,0.0,6000.0,10000.0,0.6,100.8,22564.823149292104,3932.6760369761905,7154.23336108134,0.0
47,7374.671282888151,5458.736152902953,5458.736152902953,1384.985129985198,0.0,0.0,6000.0,10000.0,0.55,107.46,22326.248977082243,4625.328717111848,6847.898141195093,0.0
48,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,107.46,22033.011077677642,4918.566616516456,6847.898141195093,0.0
49,8241.45970496007,5912.814660828746,5912.814660828746,1797.6950441313247,0.0,0.0,6000.0,10000.0,0.6,101.89,22392.55044391322,3758.5402950399293,7442.787208018235,0.0
50,8261.952707140259,6042.300252777293,6042.300252777293,1688.7024543629648,0.0,0.0,6000.0,10000.0,0.613514724331839,101.89,22283.557854144863,3738.047292859741,7442.787208018235,0.0
51,7832.619942842197,5805.144600218104,5805.144600218103,1496.5253426240945,0.0,0.0,6000.0,10000.0,0.588144113987857,106.83,22091.380742405996,4167.380057157802,7442.787208018235,0.0
52,7497.123520261724,5805.144600218103,5805.144600218103,1161.0289200436207,0.0,0.0,6000.0,10000.0,0.5881441139878568,106.83,21755.88431982552,4502.8764797382755,7442.787208018235,0.0
53,8157.214634368705,5884.865281911731,5884.865281911731,1741.3993524569748,0.0,0.0,6000.0,10000.0,0.5969224067612573,107.6,22336.254752238867,3842.7853656312946,7442.787208018235,0.0
54,7860.074764396021,5912.814660828746,5912.814660828746,1416.3101035672753,0.0,0.0,6000.0,10000.0,0.6,107.6,22011.165503349173,4139.925235603978,7442.787208018235,0.0
55,8106.569695486575,5805.144600218103,5805.144600218103,1770.475095268473,0.0,0.0,6000.0,10000.0,0.5881441139878568,103.28,22365.330495050373,3893.4303045134234,7691.200574444729,0.0
56,8326.295471418513,5912.814660828746,5912.814660828746,1882.530810589766,0.0,0.0,6000.0,10000.0,0.6,103.28,22477.386210371667,3673.7045285814875,7691.200574444729,0.0
57,7497.123520261724,5805.144600218104,5805.144600218103,1161.0289200436207,0.0,0.0,6000.0,10000.0,0.588144113987857,118.61,21755.88431982552,4502.8764797382755,7442.787208018235,0.0
58,7497.123520261724,5805.144600218104,5805.144600218103,1161.0289200436207,0.0,0.0,6000.0,10000.0,0.588144113987857,118.61,21755.88431982552,4502.8764797382755,7442.787208018235,0.0
59,8045.930354457195,5805.144600218103,5805.144600218103,1709.835754239092,0.0,0.0,6000.0,10000.0,0.5881441139878568,116.17,22304.69115402099,3954.069645542804,7442.787208018235,0.0
60,7712.870429914335,5805.144600218103,5805.144600218103,1376.7758296962324,0.0,0.0,6000.0,10000.0,0.5881441139878568,116.17,21971.63122947813,4287.129570085664,7442.787208018235,0.0
61,8042.1731588677185,5912.814660828746,5912.814660828746,1598.408498038973,0.0,0.0,6000.0,10000.0,0.6,124.79,22193.26389782087,3957.8268411322806,7442.787208018235,0.0
62,8792.457081114055,6489.1674151070165,6489.1674151070165,1772.3396660070368,0.0,0.0,6000.0,10000.0,0.660155330602822,124.79,22367.195065788936,3207.5429188859453,7442.787208018235,0.0
63,8346.535851779405,5912.814660828746,5912.814660828746,1902.7711909506581,0.0,0.0,6000.0,10000.0,0.6,125.11,22497.626590732554,3653.4641482205952,7442.787208018235,0.0
64,8536.010991905487,6042.300252777293,6042.300252777293,1962.7607391281933,0.0,0.0,6000.0,10000.0,0.613514724331839,125.11,22557.616138910093,3463.9890080945133,7442.787208018235,0.0
