local_date,intervals,mean_price,price_std,minimum_price,maximum_price,mean_grid_import,peak_grid_import,mean_total_cpu,settlement_cost,opening_ups,opening_tes,opening_cold_aisle,negative_price_share,representative_score
2025-06-10,96,80.01333333333334,16.540376796234217,50.23,111.79,771.0913464435063,1186.56228421194,0.5654166666666667,1450.513387442669,300.0,-0.0,23.0,0.0,0.3826117609685361
2025-05-21,96,85.35416666666667,11.668207787936247,63.92,105.64,775.7079028608945,1607.68114692871,0.5648081348662675,1534.0101905305467,300.0,-0.0,23.0,0.0,0.38471733094491434
2025-06-05,96,74.37541666666667,18.198901060903687,39.22,103.07,777.1466040067035,1626.59401308313,0.5654166666666667,1312.7130398079942,300.0,-0.0,23.0,0.0,0.38779261991454983
2025-08-20,96,78.365,8.909839386584743,66.59,99.45,770.1728712868671,1271.47120055201,0.5654166666666668,1422.1844404767148,300.0,-0.0,23.0,0.0,0.3892700172987657
2025-06-29,96,74.83083333333333,12.25901032037609,58.41,101.26,775.1363797750679,1626.59233207171,0.5654166666666667,1355.6593488395001,300.0,-0.0,23.0,0.0,0.38927784374567215
2025-12-02,96,75.73041666666667,16.87374852539428,44.97,104.34,771.8315335966873,1186.61060239386,0.5654166666666668,1358.2230676117424,300.0,-0.0,23.0,0.0,0.3905192788740734
2025-05-15,96,80.14208333333333,12.109654079692966,62.48,101.74,776.6033269378323,1626.59399117235,0.5654166666666668,1444.4426884315378,300.0,-0.0,23.0,0.0,0.390799205743341
2025-04-18,96,79.86666666666666,12.496903083030872,50.82,99.31,772.1954872508992,1626.59396280207,0.5654166666666667,1425.7740195827967,300.0,-0.0,23.0,0.0,0.39296232105303835
2025-11-28,96,67.66208333333334,18.569180574085188,34.51,89.4,772.4197460939763,1279.35818224688,0.5660012401337327,1214.6046868843223,300.0,-0.0,23.0,0.0,0.39358139440698625
2025-08-12,96,85.705,16.582856080587362,68.04,126.17,776.1711204204271,1186.61061774676,0.5654166666666668,1532.994631769358,300.0,-0.0,23.0,0.0,0.3937876842712704
2025-07-06,96,72.92458333333333,13.137040595736735,52.33,95.79,775.021230770255,1626.59159342203,0.5654166666666667,1318.8787750146373,300.0,-0.0,23.0,0.0,0.39399924447642737
2025-05-16,96,74.47375,14.512266698791128,43.77,96.21,777.129839734645,1626.68395892775,0.5654166666666667,1319.3660532506224,300.0,-0.0,23.0,0.0,0.3942877327365077
2025-04-08,96,85.02416666666666,18.757914802005534,67.32,125.13,778.6439663220195,1186.61062003568,0.5654166666666667,1489.3615974748307,300.0,-0.0,23.0,0.0,0.39481213659633474
2025-05-18,96,77.02125,14.45056802744409,44.03,100.36,771.8813472587385,1626.59372034052,0.5654166666666667,1376.7555925942245,300.0,-0.0,23.0,0.0,0.3955512377809036
2025-06-25,96,88.71791666666667,14.997090799756474,70.12,116.28,777.3555473769079,1607.68118225219,0.5654166666666668,1593.7014639427632,300.0,-0.0,23.0,0.0,0.39636757509226167
2025-08-10,96,77.55874999999999,13.4650325502372,45.26,101.33,772.9794748677533,1626.59401392901,0.566025198467066,1383.6273072987185,300.0,-0.0,23.0,0.0,0.3967653666527508
2025-06-11,96,80.16541666666667,11.915159730507554,53.7,103.2,773.2199411709212,1636.62101107015,0.5654166666666668,1430.5019929482226,300.0,-0.0,23.0,0.0,0.3970548363846344
